"id"," name"," stage"," date"," place"," url"," distance"
1,"XIII Corrida Centro Histórico Corpore BM&F/Bovespa",,2008-08-10,"Centro de São Paulo","null","9Km "
2,"Corrida Caixa pela Paz - Corpore & WTC",,2008-09-07,"Marginal Pinheiros","null","8Km "
3,"NikePlus - The Human Race","São Paulo",2008-08-31,"USP","http://www.nikerun.com.br","10Km "
4,"13ª Corrida Corpore Bombeiros",,2008-06-29,"Museu do Ipiranga","null","10Km "
5,"5ª Maratona de Revezamento - Ayrton Senna Racing Day","São Paulo",2008-11-16,"Autôdromo de Interlagos","http://www.ayrtonsennaracingday.com.br","42.2Km"
6,"14ª Samsung 10K Corpore São Paulo Classic","São Paulo",2008-11-23,"Assembléia Legislativa","http://www.corpore.org.br","10Km "
7,"Circuito das estações Adidas","São Paulo - Verão",2008-12-21,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km "
8,"Corrida de São Silvestre","São Paulo",2008-12-31,"Centro","http://www.saosilvestre.com.br","15Km "
9,"4ª Corrida Oral-B","São Paulo",2009-01-18,"Campo de Marte","http://www.corpore.org.br/","7Km "
10,"XII Troféu Cidade de São Paulo ","São Paulo",2009-01-25,"Ibirapuera","http://jjseventos.com.br/corridas/trofeusp/histrofeusp.html","10Km/6Km "
11,"Circuito das estações Adidas","São Paulo - Primavera",2008-05-10,"Pacaembu","null","10Km"
12,"Corrida Batavo Pense Light - 5km","São Paulo",2009-03-01,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_2478.asp","5Km "
13,"Corrida Batavo Pense Light - 12km","São Paulo",2009-03-01,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_2478.asp","12Km "
14,"Circuito Vênus 2009","1ª Etapa",2009-03-08,"Jockey Club","http://o2porminuto.uol.com.br/circuitovenus/sp/resultados.html","5Km"
15," X Meia Maratona Internacional Corpore Açúcar União","São Paulo",2009-04-05,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_2469.asp","5.5Km "
16,"Circuito das estações Adidas","São Paulo - Outono",2009-03-29,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km "
17,"Fila Night Run - 10Km","São Paulo",2009-05-09,"USP","null","10Km "
18,"Fila Night Run - 5Km","São Paulo",2009-05-09,"USP","null","5Km "
19,"9ª Corrida e Caminhada GRAACC - Corrida","São Paulo",2009-05-10,"Ibirapuera","http://www.corpore.org.br/","10Km "
20,"9ª Corrida e Caminhada GRAACC - Caminhada","São Paulo",2009-05-10,"Ibirapuera","http://www.corpore.org.br/","4.3Km"
21,"3ª 25 Km Corpore - 12.5km","São Paulo",2009-05-24,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_2646.asp","12.5Km "
22,"Circuito Eco Run - 5Km","São Paulo",2009-06-07,"USP","null","5Km"
23,"Circuito Eco Run - 10Km","São Paulo",2009-06-07,"USP","null","10Km"
24,"3ª Corrida Hebraica Macabi Brasil","São Paulo",2009-06-21,"USP","null","6Km"
25,"Circuito das estações Adidas","São Paulo - Inverno",2009-07-12,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km"
26,"Circuito Osasco","Terra",2009-07-26,"Osasco","http://www.circuitoosasco.com.br/resultados.cfm","8Km"
28,"10 Milhas Mizuno","São Paulo",2009-08-02,"USP","http://www.10milhas.com.br/sp/index.html","16Km"
29,"7ª Corrida Troféu Duque de Caxias","São Paulo",2009-08-23,"Ibirapuera","null","10Km"
30,"17° Maratona Pão de Açúcar de Revezamento","São Paulo",2009-09-20,"Ibirapuera","http://www.maratonaderevezamento.com.br/saopaulo/","42Km"
31,"Circuito das estações Adidas","São Paulo - Primavera",2009-09-27,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km"
32,"Corrida Corpore WTC pela Paz - 8km","São Paulo",2009-10-11,"Marginal Pinheiros","http://www.corpore.org.br/cws_exibeconteudogeral_2810.asp","8Km "
33,"6ª Corrida Shopping Aricanduva - 9km","São Paulo",2009-10-25,"Shopping Aricanduva","http://www.corpore.org.br/cws_exibeconteudogeral_2861.asp","9Km "
34,"Samsung 10K Corpore SP Classic - 8º Troféu Zumbi dos Palmares","São Paulo",2009-11-22,"Assembléia Legislativa","http://www.corpore.org.br/cws_exibeconteudogeral_2977.asp","10Km"
35,"Ayrton Senna Racing Day","São Paulo",2009-11-08,"Interlagos","http://www.ayrtonsennaracingday.com.br/br/default.asp","42Km"
36,"Samsung Corpore SP Classic - 8º Troféu Zumbi dos Palmares","São Paulo",2009-11-22,"Assembléia Legislativa","http://www.corpore.org.br/cws_exibeconteudogeral_2977.asp","4Km"
37,"Circuito das estações Adidas","São Paulo - Verão",2009-12-20,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km"
38,"Corrida de São Silvestre","São Paulo",2009-12-31,"Centro","http://www.saosilvestre.com.br","15Km "
39,"Circuito do Sol","São Paulo",2010-01-17,"Pacaembu","http://www.circuitodosol.com.br","5Km e 10Km"
40,"5ª Corrida Oral B","São Paulo",2010-01-31,"Santana","http://www.corpore.org.br/cws_exibeconteudogeral_3060.asp","7Km"
41,"Circuito das estações Adidas","São Paulo - Outono",2010-03-21,"Pacaembu","http://www.circuitodasestacoes.com.br/","10Km"
42,"Corrida Batavo Pense Light - Abertura do Circuito Corpore ESPN","São Paulo",2010-03-21,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_3115.asp","5Km"
43,"Meia Maratona Internacional - Corpore Estado de São Paulo","São Paulo",2010-04-11,"USP","http://www.corpore.org.br/cws_exibeconteudogeral_3157.asp","5Km"
